Gene ID,0.5_lowLight,2_lowLight,4_lowLight,6_lowLight,8_lowLight,9_lowLight,10_lowLight,12_lowLight,0.5_ClearLight,2_ClearLight,4_ClearLight,6_ClearLight,8_ClearLight,9_ClearLight,10_ClearLight,12_ClearLight
 Synpcc7942_0075 ,1.23,1.15,1.16,1.13,0.93,0.89,0.95,0.96,1.12,1.25,1.40,1.27,1.23,1.13,1.00,0.96
 Synpcc7942_0076 ,0.61,0.52,0.51,0.42,0.39,0.41,0.42,0.44,0.63,0.57,0.56,0.54,0.51,0.42,0.41,0.22
 Synpcc7942_0077 ,0.53,0.47,0.46,0.45,0.31,0.32,0.37,0.25,0.75,0.68,0.69,0.74,0.57,0.54,0.51,0.34
 Synpcc7942_0078 ,0.35,0.59,0.61,0.69,0.72,0.68,0.69,0.48,0.43,0.67,0.70,0.71,0.80,0.74,0.75,0.61
 Synpcc7942_0079 ,0.73,1.09,0.99,1.27,1.30,1.24,1.16,1.19,0.68,0.95,0.91,0.93,1.14,1.24,1.23,1.51
 Synpcc7942_0080 ,0.48,0.34,0.23,0.24,0.26,0.23,0.23,0.28,0.68,0.22,0.25,0.22,0.24,0.27,0.25,0.41
 Synpcc7942_0081 ,0.80,0.57,0.52,0.74,0.73,0.48,0.66,0.61,0.80,0.37,0.38,0.50,0.49,0.56,0.67,0.86
 Synpcc7942_0082 ,0.34,0.52,0.46,0.35,0.26,0.28,0.30,0.32,0.30,0.42,0.39,0.37,0.33,0.29,0.25,0.18
 Synpcc7942_0083 ,0.14,0.17,0.18,0.18,0.13,0.13,0.12,0.16,0.18,0.17,0.16,0.15,0.12,0.13,0.07,0.14
 Synpcc7942_0084 ,0.18,0.16,0.19,0.23,0.25,0.30,0.30,0.25,0.19,0.15,0.14,0.15,0.23,0.24,0.26,0.21
 Synpcc7942_0085 ,0.13,0.06,0.06,0.07,0.12,0.19,0.22,0.19,0.15,0.08,0.07,0.08,0.09,0.12,0.15,0.28
 Synpcc7942_0086 ,0.22,0.22,0.23,0.24,0.46,0.64,0.74,0.68,0.36,0.22,0.23,0.24,0.26,0.38,0.62,1.56
 Synpcc7942_0087 ,0.27,0.33,0.33,0.36,0.41,0.53,0.57,0.48,0.41,0.39,0.39,0.40,0.40,0.49,0.61,1.14
 Synpcc7942_0088 ,0.27,0.25,0.20,0.29,0.31,0.33,0.33,0.38,0.35,0.30,0.28,0.26,0.31,0.31,0.40,0.61
 Synpcc7942_0089 ,0.54,0.84,0.85,0.81,0.66,0.68,0.71,0.58,0.69,0.76,0.86,0.86,0.89,0.80,0.67,0.50
 Synpcc7942_0090 ,0.38,0.59,0.60,0.54,0.44,0.35,0.41,0.38,0.34,0.45,0.45,0.48,0.49,0.50,0.45,0.42
 Synpcc7942_0091 ,0.34,0.14,0.17,0.19,0.21,0.15,0.17,0.15,0.56,0.26,0.29,0.23,0.19,0.21,0.17,0.19
 Synpcc7942_0092 ,0.38,0.78,0.97,0.87,0.63,0.48,0.42,0.31,0.85,0.64,0.62,0.80,0.74,0.77,0.65,0.33
